6, 23, 24, 31, 36, 53
27, 41, 42, 46, 48, 49
3, 10, 22, 33, 37, 56
14, 19, 34, 41, 42, 59
8, 10, 25, 42, 52, 58
7, 9, 21, 38, 43, 59
5, 7, 39, 47, 49, 52
6, 7, 23, 28, 46, 52
3, 17, 22, 34, 47, 49
22, 34, 38, 41, 49, 55
12, 21, 24, 35, 51, 54
23, 30, 37, 43, 49, 53
3, 13, 16, 24, 53, 58
2, 50, 51, 54, 55, 57
5, 8, 18, 19, 27, 34
20, 23, 40, 47, 53, 57
4, 5, 6, 17, 48, 58
5, 12, 28, 32, 47, 59
2, 3, 16, 25, 29, 40
1, 17, 29, 31, 39, 40
14, 16, 20, 32, 49, 58
2, 11, 14, 35, 40, 49
17, 33, 36, 41, 48, 57
5, 6, 8, 37, 39, 45
1, 6, 17, 29, 40, 56
13, 33, 35, 38, 44, 52
10, 24, 25, 37, 49, 54
10, 33, 35, 45, 47, 48
12, 24, 37, 52, 54, 58
1, 5, 17, 41, 46, 47
4, 7, 12, 22, 26, 50
12, 21, 36, 47, 48, 53
20, 27, 39, 45, 47, 57
2, 7, 16, 28, 30, 56
4, 6, 29, 42, 51, 53
1, 3, 8, 9, 17, 48
18, 26, 27, 32, 40, 58
7, 14, 28, 49, 51, 52
1, 34, 39, 49, 52, 54
2, 7, 9, 14, 31, 52
9, 19, 36, 47, 56, 57
9, 25, 31, 34, 48, 54
9, 14, 32, 39, 56, 59
7, 14, 16, 20, 48, 59
